City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
512,ocozocoautla de espinosa,16.7667,-93.3667,287.2,77,1,4.8,MX,1707263625
513,mugia,43.1041,-9.2179,287.54,92,100,9.76,ES,1707263625
514,lisala,2.15,21.5167,295.34,41,2,0.57,CD,1707263625
515,svetlograd,45.3353,42.8547,276.77,98,100,6.99,RU,1707263625
516,aripuana,-9.1667,-60.6333,298.1,82,65,1.45,BR,1707263625
517,al jadid,27.05,14.4,284.41,46,1,1.59,LY,1707263626
518,severnoye,56.3491,78.3619,264.81,93,99,3.58,RU,1707263626
519,kailua-kona,19.6406,-155.9956,299.13,76,75,3.09,US,1707263626
520,celestun,20.8667,-90.4,294.19,61,21,4.53,MX,1707263626
521,constitucion,-35.3333,-72.4167,291.07,92,43,6.05,CL,1707263626
522,bardai,11.65,7.2333,292.22,21,68,5.42,NG,1707263626
523,luanda,-8.8368,13.2343,300.15,89,75,3.09,AO,1707263626
524,panjab,34.388,67.0233,255.51,88,70,1.59,AF,1707263348
525,manacapuru,-3.2997,-60.6206,301.97,72,95,0.24,BR,1707263626
526,contamana,-7.3333,-75.0167,300.01,73,68,1.42,PE,1707263627
527,kattivakkam,13.2167,80.3167,297.2,82,3,1.03,IN,1707263627
528,coracao de maria,-12.2333,-38.75,296.55,85,82,3.36,BR,1707263627
529,luza,60.6308,47.2512,247.25,99,79,2.21,RU,1707263627
530,vorkuta,67.5,64.0,246.62,100,91,1.72,RU,1707263627
531,siracusa,37.0881,15.2792,284.99,53,64,2.11,IT,1707263627
532,pangoa,-12.1167,-73.0,295.57,92,78,0.11,PE,1707263627
533,inarajan village,13.2736,144.7484,301.15,80,100,6.63,GU,1707263627
534,ivdel',60.6911,60.4206,258.81,96,100,3.13,RU,1707263628
535,kondagaon,19.6,81.6667,291.76,68,0,1.22,IN,1707263628
536,crane,31.3974,-102.3501,289.33,40,97,8.35,US,1707263628
537,cooper's town,26.8667,-77.5167,292.46,89,56,20.33,BS,1707263628
538,bantay,17.5847,120.3892,300.91,92,1,1.67,PH,1707263628
539,bandar-e lengeh,26.5579,54.8807,290.33,35,0,2.65,IR,1707263628
540,lehigh acres,26.6254,-81.6248,292.15,63,5,1.79,US,1707263628
541,hammerfest,70.6634,23.6821,267.4,86,100,2.06,NO,1707263629
542,morant bay,17.8815,-76.4093,301.94,72,58,5.08,JM,1707263629
543,nueve de julio,-35.4444,-60.8831,306.07,31,72,3.85,AR,1707263629
544,mahikeng,-25.8652,25.6442,294.14,32,6,2.06,ZA,1707263629
545,deqen,29.9618,90.7188,266.19,21,0,2.68,CN,1707263629
546,island harbour,50.724,-1.2758,284.99,93,100,7.15,GB,1707263629
547,manokwari,-0.8667,134.0833,299.07,82,100,3.45,ID,1707263629
548,khvoynaya,58.9,34.5333,253.69,100,95,1.81,RU,1707263630
549,thunder bay,48.4001,-89.3168,276.14,93,75,2.06,CA,1707263567
550,conceicao da barra,-18.5933,-39.7322,299.27,86,100,2.53,BR,1707263630
551,sierra grande,-41.606,-65.3557,306.76,20,73,10.01,AR,1707263630
552,labasa,-16.4167,179.3833,301.3,82,100,1.63,FJ,1707263630
